Client,Format vidéo,Lien vidéo publicitaire,Date de création,Statut,Notes,Logo
AGENCE CENTRALE DE L'OR,MP4,https://drive.google.com/file/d/10GJ6ZbPZBD_HoTfKU-OkCLX_385Q4dIu/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
ASI TECHNOLOGIE,MP4,https://drive.google.com/file/d/1GFu9I90DrVVLUZgBqGAQNWLnCPMvJQLH/view?usp=drive_link,,,,https://drive.google.com/file/d/1hfcbT6N6LA52hd3Z2OUsBrgVqm_oKSxn/view?usp=sharing
BURO,MP4,https://drive.google.com/file/d/1KEhRKO-DkOqHALTQjkVjn5ch1VD2ykgJ/view?usp=drive_link,,,,https://drive.google.com/file/d/1s8HXFpHimCE2tBmgC12jlzvoB1Z8F9X_/view?usp=sharing
C BIEN GLACÉ,MP4,https://drive.google.com/file/d/1HTWUubsycCDAQS_JbzE5xDskVCDSZHKY/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
CAVAVIN,MOV,https://drive.google.com/file/d/1q6OPjDF9RlfToTr-aRGDKafscbnM89av/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
COPEAUX D'ABORD,MOV,https://drive.google.com/file/d/1czrNTiSXToW9d1X7gPS6136rbSREDdpv/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
CÔTE SEINE,MP4,https://drive.google.com/file/d/1p_6wV_OyDRNCKl24StPrr8zGwpryZJnd/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
CULINARION,MOV,https://drive.google.com/file/d/1J8dJ9n4vUHJXg8sesO2849q1Of0Fdbkd/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
DERMA JOLIE 3,MOV,https://drive.google.com/file/d/1IOFOhP-kiHG8m8dtBv6PFmz85VG2NI8i/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
DIGICOM INTERNATIONAL ,,,,,,https://drive.google.com/file/d/1m8XExtJS7Ah9CtGCRytaX4RvCsZyKBnM/view?usp=drive_link
DORCEL,MOV,https://drive.google.com/file/d/1u_nfVf89ih-uIa2PzFnrPW4J6LNpiBw9/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
EDEN DU RANDONNEUR,MP4,https://drive.google.com/file/d/1I2U8IEulw96y2ljn5hnUOq1FtWoiDkIr/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
ÉMULSION 2,MOV,https://drive.google.com/file/d/1mTohrInmDRL8XWGjcKIjd0CUDQT6Z_YB/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
EN L'AIR PIED BOIS,MOV,https://drive.google.com/file/d/1Dmi5KrywlHODDnIx1NAskM42ao2eOAtw/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
GARAGE FCSA,MP4,https://drive.google.com/file/d/1Z0jYmJhEtP1uGcBIJk6C5CFtxkTGaxXr/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
GLOBAL SERVICE,MP4,https://drive.google.com/file/d/1H2PT6WI5rKcZKmyglWN6P9fhPOcMmRkb/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
GRAND LITIER RÉUNION,,,,,,https://drive.google.com/file/d/1gZFzUqCTyq3JXjU9f7PEdpFnbdH2RKn2/view?usp=drive_link
HÉRACLES COACHING,MOV,https://drive.google.com/file/d/1tHAthBzIaicnE1Hh2oah363VmzDb47By/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
INSTITUT DESBEANCE,MOV,https://drive.google.com/file/d/1Oyjcr3YQea8_7buapXrTCSIfmv23yhJc/view?usp=drive_link,,,,
INTÉRIEURS PRIVÉS,MP4,https://drive.google.com/file/d/15qtyZs4gSIXnaY2DTn-Yl9pzn-opqv5Y/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
IXINA RÉUNION ,,,,,,https://drive.google.com/file/d/1O5NMJmM6v2PMTiDud7If2d9XMOi-7u8O/view?usp=drive_link
LA PART DES ANGES,MP4,https://drive.google.com/file/d/1t1WjH6DUiNXiMydit05VOLSaHMYD2H8x/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LADRESS,MP4,https://drive.google.com/file/d/1QsGOlwSJ2q5d-9ugFH_okuNI0RPYXliA/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LE GOÛT DU VIN,MP4,https://drive.google.com/file/d/1KXtkSwBUNFw7y-frVpXUlR5wb38ACTNg/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LELINGE.RE,MP4,https://drive.google.com/file/d/1rf85e6bqWTayeJbquozI8lAws4npWkhu/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LES CAFÉS D'ITALIE,MP4,https://drive.google.com/file/d/1Thyud_cziAZbdZHOBXf3QrjixBeARNCn/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LILOO BEAUTY,MOV,https://drive.google.com/file/d/1QbKIuDdZy7DOaBaaqstEDgEiVFL5NRNv/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LITTLE LIBELULLE,MP4,https://drive.google.com/file/d/1OaZvS7a5qkuSbNJ0tPVBbSCawcSPdBru/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
LODGES PARADISE ,,,,,,https://drive.google.com/file/d/1yK23LZcUaSVziXDhHkCiCzIwtGi-H7Ao/view?usp=drive_link
NATUCCI ESTETICA,,,,,,https://drive.google.com/file/d/14w33PEMCEqiXf18kPR7CdmCyIyMut5Ky/view?usp=drive_link
NOMAD,MP4,https://drive.google.com/file/d/1HLSabnYLDkG809K2WjyF_yYG-Xwgcdz4/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
ONE-MARKET,MP4,https://drive.google.com/file/d/1VphfNIVmj9fx8_XhJJauWcN-19ourrQ8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PAPANG,MOV,https://drive.google.com/file/d/17tdlwfnVUzoAI-89PM2b2TPl7IMVkxvw/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PASS-XP,MP4,https://drive.google.com/file/d/1lurkFaorIzA13pzQZwmlJnQATb8aitz8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PÊCHE PASSION,MP4,https://drive.google.com/file/d/16kzxc85DZHY98Bnr6IbQbKy6OqSaPS-x/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
PIZZA LE CRATÈRE ,,,,,,https://drive.google.com/file/d/1T2M6YhFXJV2uTWCK3HIJma4Vk1v02ptr/view?usp=drive_link
POKAWA,MP4,https://drive.google.com/file/d/1QEEew4OX-8n6C0owgEZJsOr3utsw3JDv/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
RUN CYBER CONSEILS ,,,,,,https://drive.google.com/file/d/1Lu5sxqaPGgevzHSIq8fq2qw_lKng-wso/view?usp=drive_link
SAM CONCEPT HABITAT,MP4,https://drive.google.com/file/d/1HU7l11ipKjiFdIZFIr5MHg3TfdC3TXNQ/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
TWINS DESIGN,MP4,https://drive.google.com/file/d/1_h2B0fMIr8v7zpNkwo4bQ5R9qn5_6Wd8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
TERASSEMENT OCÉAN INDIEN ,,,,,,https://drive.google.com/file/d/1lEXR2tQLFKVbx-6W3QQcTwOiBXkZGvKa/view?usp=drive_link
ULM,MOV,https://drive.google.com/file/d/1xyqjRi8WS0LXmFYTSeb2SwAfyWjFzpOK/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
VANILLE JEU-CONCOURS,MOV,https://drive.google.com/file/d/10jeKKTY4GTLIINV_3dq8OjaxkVhZsNee/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW
VEILLE À NÔU,MOV,https://drive.google.com/file/d/1sj0xI9wfUVDPoGYkLmKUI5a8EMTgsuo8/view?usp=drive_link,,,,https://drive.google.com/drive/folders/1nWREtIqhmMFJxYttrSROXIIpg34LTMsW